eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,2,2,39,2,95,NA,3,3,3,2,5222,42.78,44.14,40,1,NA,NA,1,NA,NA,14,14,NA,20,NA,20,20,1,3,4,1,2008,13,3,1,NA,1,8,2,2,NA,2,1,1,2,3,1,2,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,20,10,7
1,1,1,82,5,9,4,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,4,1970,51,NA,2,NA,2,8,3,2,2,1,1,2,3,3,2,2,2,1,3,1,1,1,1,2,3,3,3,3,4,70,4,1
2,1,2,77,5,16,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,14,14,NA,NA,NA,14,14,2,NA,3,2,NA,NA,NA,NA,NA,NA,7,NA,2,2,2,3,2,2,2,2,2,1,1,2,1,2,1,1,3,3,2,3,3,1,150,8,6
1,1,1,79,5,2,4,5,6,8,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,23,23,NA,23,NA,23,23,1,1,7,2,NA,NA,NA,NA,NA,NA,8,4,3,1,3,4,1,2,1,2,1,1,1,2,2,2,2,2,2,3,4,2,2,5,90,7,3
1,3,2,22,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,3,1,NA,3,1,2,1,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,50,8,6
1,1,1,77,5,11,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,19,19,3500,NA,3500,NA,20,1,1,7,2,NA,NA,NA,NA,NA,NA,8,3,3,2,2,3,2,2,2,1,1,1,1,2,2,2,1,2,3,3,3,2,3,3,30,8,6
1,1,2,54,3,4,4,3,3,3,2,5223,42.78,28.48,25.5,1,3,NA,1,NA,NA,8,8,NA,21,NA,21,21,1,1,3,1,NA,NA,NA,NA,NA,NA,6,3,2,1,3,4,3,2,3,3,2,1,1,1,2,1,1,1,3,2,3,4,4,4,111,10,7
1,1,2,50,3,10,4,5,5,6,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,7,7,NA,14,NA,14,14,1,3,4,4,2015,6,4,1,NA,1,5,2,2,NA,1,2,1,2,4,1,2,NA,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,100,7,3
1,1,2,23,1,8,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,4,1,NA,NA,NA,NA,NA,NA,6,4,4,1,3,2,2,3,2,1,1,2,1,2,2,1,2,1,1,1,2,4,3,2,60,10,7
1,1,2,25,1,2,4,4,5,6,1,5412,40.89,51.5,40,1,4,NA,5,1,NA,19,19,NA,23,NA,23,23,1,1,4,2,2020,1,4,2,NA,2,9,3,4,1,1,2,3,3,4,1,2,1,1,2,1,2,1,1,1,2,4,3,1,5,90,4,3
1,1,1,65,4,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,19,NA,19,19,1,1,4,3,1995,26,5,2,NA,2,7,2,2,2,2,1,4,4,4,1,2,2,1,3,1,2,1,2,3,4,4,2,3,4,90,8,5
1,1,1,56,3,1,4,3,3,3,1,4110,42.09,43.33,45,1,NA,NA,1,NA,2900,NA,18,2900,NA,2900,NA,18,1,4,7,2,9000,56,NA,1,NA,1,8,3,1,2,2,3,4,4,4,2,1,1,1,2,1,2,1,1,3,2,2,4,3,4,80,9,3
1,1,1,72,4,9,4,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,13,NA,13,13,1,1,7,4,1979,42,1,2,NA,2,10,3,3,1,2,1,3,2,3,1,1,2,1,2,1,2,1,2,1,5,5,1,1,5,70,7,1
2,1,1,52,3,14,1,3,5,5,1,3122,45.94,40.54,60,1,NA,NA,1,NA,NA,14,14,NA,19,NA,19,19,1,1,7,3,NA,NA,NA,NA,NA,NA,9,2,1,2,2,4,2,4,4,1,1,1,1,1,1,1,1,1,4,2,3,4,2,3,130,4,4
