eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,1,64,4,6,4,5,5,7,1,2330,62.63,82.41,45,1,NA,NA,1,NA,5000,NA,23,5800,NA,5800,NA,23,1,1,7,3,2009,12,5,2,NA,2,8,4,3,NA,3,3,3,2,3,2,2,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,30,4,4
2,1,2,55,3,13,1,4,5,7,1,2142,70,81.4,40,1,NA,NA,1,NA,2000,NA,15,5000,NA,5000,NA,23,1,1,7,2,NA,NA,NA,NA,NA,NA,8,3,3,2,2,3,3,3,3,2,2,2,1,2,1,1,1,1,2,3,3,2,3,5,120,7,6
1,1,2,28,1,2,4,5,5,7,1,2341,57,76.49,45,1,NA,NA,1,NA,NA,19,19,NA,23,NA,23,23,1,1,4,1,NA,NA,NA,NA,NA,NA,9,3,3,2,2,3,2,2,3,1,1,2,1,2,1,2,2,2,1,2,3,2,3,5,90,10,7
1,2,1,67,4,95,NA,NA,6,8,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,19,19,NA,21,NA,21,21,1,1,7,2,NA,NA,NA,NA,NA,NA,8,4,3,1,1,1,3,4,3,1,1,1,1,1,1,1,1,2,2,4,4,2,2,5,100,8,6
2,1,1,46,3,15,1,3,3,3,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,2,3,4,3,3,5,140,7,4
1,1,2,53,3,4,4,5,4,4,1,3313,43.81,55.25,40,1,NA,NA,1,NA,NA,25,25,NA,26,NA,26,26,1,1,7,2,9000,53,NA,2,NA,1,9,5,3,2,2,3,2,3,2,2,2,2,1,2,1,2,1,1,1,2,3,2,2,5,111,10,7
2,1,1,55,3,12,1,3,3,3,4,NA,NA,NA,NA,NA,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,2015,6,6,NA,1,NA,NA,2,NA,2,2,2,4,4,4,2,2,1,1,2,1,2,1,2,5,3,2,4,4,3,120,9,4
1,1,2,28,1,2,4,5,5,6,1,1221,52,71.39,48,NA,NA,NA,1,NA,NA,1,1,NA,23,NA,23,23,1,4,7,4,9000,28,NA,2,NA,1,9,3,3,NA,3,3,3,4,4,1,1,NA,1,2,2,2,1,1,2,NA,NA,NA,NA,NA,90,9,2
1,1,1,47,3,1,4,3,5,5,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,20,20,NA,NA,NA,20,20,2,NA,7,4,2010,11,2,2,NA,2,7,3,3,NA,1,3,2,3,4,1,1,NA,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,80,3,3
2,1,2,38,2,12,1,5,4,4,1,3255,49.87,53.15,40,NA,NA,NA,1,NA,NA,19,19,NA,23,NA,23,23,1,3,7,4,1995,26,1,NA,2,2,9,3,3,2,3,2,3,3,3,2,1,2,2,NA,1,2,1,1,4,2,2,3,4,5,120,4,2
1,1,1,49,3,2,4,3,5,5,1,3412,49,52.72,38.5,1,4,NA,5,1,NA,15,15,NA,NA,NA,15,15,2,NA,6,1,NA,NA,NA,NA,NA,NA,6,NA,2,1,3,2,2,3,4,2,2,NA,1,3,1,1,1,1,4,2,3,3,4,5,90,10,7
2,1,2,33,2,13,1,5,5,5,1,3211,58,57.04,52,1,NA,NA,1,NA,NA,15,15,NA,19,NA,19,19,1,2,4,3,2016,5,1,NA,2,2,8,2,3,NA,2,1,3,4,3,1,1,NA,1,3,1,1,1,1,2,NA,NA,NA,NA,NA,120,9,4
2,1,1,43,2,16,1,5,4,4,1,1324,57.21,58.07,39,1,NA,NA,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,4,1,2002,19,1,NA,1,1,9,3,3,1,3,4,4,3,2,2,1,1,1,2,1,2,2,1,2,2,4,3,1,5,140,10,7
1,1,1,40,2,6,4,5,5,6,1,2512,51,74.66,38,1,3,NA,5,1,NA,NA,NA,2500,NA,2500,NA,17,1,1,4,3,2008,13,6,2,NA,1,6,2,2,2,2,4,3,4,4,2,1,1,1,3,1,2,1,1,2,2,3,3,3,5,10,8,5
2,1,1,42,2,15,1,2,3,3,1,7223,37.87,28.7,38.5,2,NA,NA,NA,NA,NA,13,13,NA,NA,NA,13,13,2,NA,1,1,NA,NA,NA,NA,NA,NA,5,2,2,2,3,3,4,3,3,2,4,1,1,2,1,1,1,1,2,3,3,3,3,5,140,10,7
1,1,2,57,3,6,4,3,3,3,2,3322,47,57.03,20,2,NA,NA,1,NA,NA,9,9,NA,19,NA,19,19,1,1,7,4,NA,NA,NA,NA,NA,NA,7,3,2,NA,2,2,4,4,3,2,2,2,1,3,NA,2,2,NA,2,3,4,3,3,3,60,9,3
1,1,1,28,1,1,4,5,4,4,1,1221,52,71.39,43.5,1,4,NA,5,1,2000,NA,15,3000,NA,3000,NA,19,1,1,6,1,NA,NA,NA,NA,NA,NA,9,3,3,1,3,4,1,1,2,2,1,NA,2,NA,2,2,2,2,1,3,4,2,2,5,90,10,6
1,1,1,51,3,7,4,4,5,5,1,NA,NA,NA,55,NA,NA,NA,1,NA,2500,NA,17,3500,NA,3500,NA,20,1,2,7,4,NA,NA,NA,NA,NA,NA,7,3,2,2,3,3,2,2,2,2,1,2,2,NA,2,1,1,2,3,3,4,2,2,5,30,3,3
1,1,1,53,3,1,4,2,3,3,1,1349,75,65.01,38.5,1,NA,NA,1,NA,NA,20,20,NA,20,NA,20,20,1,1,7,4,2020,1,2,2,NA,1,6,4,3,2,2,1,3,4,4,1,2,2,1,2,1,2,1,1,3,3,3,3,3,4,80,2,2
2,1,2,75,5,13,1,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,12,12,NA,NA,NA,12,12,2,NA,3,1,9000,75,NA,NA,1,2,6,3,2,NA,2,2,2,2,3,2,2,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,112,10,7
1,1,1,32,2,8,4,3,5,5,1,1321,64,65.42,46,1,NA,NA,5,2,NA,17,17,NA,NA,NA,17,17,2,NA,4,3,NA,NA,NA,NA,NA,NA,6,4,NA,1,3,3,1,2,3,2,2,1,1,2,1,2,1,1,3,2,3,4,3,3,50,7,4
2,1,1,75,5,15,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,17,NA,17,17,1,2,3,3,1977,44,3,NA,2,2,7,3,1,NA,3,4,4,2,4,2,2,NA,1,1,1,2,1,2,3,NA,NA,NA,NA,NA,140,NA,NA
2,1,2,57,3,16,1,3,3,3,2,4110,42.09,43.33,20,1,5,NA,1,NA,NA,6,6,NA,19,NA,19,19,1,1,7,4,1993,28,1,NA,2,1,9,3,3,NA,2,3,3,3,3,1,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,150,5,3
2,1,2,94,6,16,1,3,5,6,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,13,13,NA,21,NA,21,21,1,5,7,3,NA,NA,NA,NA,NA,NA,9,3,NA,1,2,3,NA,2,3,2,2,NA,1,3,2,2,1,1,3,5,3,2,2,2,150,5,3
2,1,2,29,1,7,3,5,5,7,2,2330,62.63,82.41,20.5,1,2,NA,5,2,NA,9,9,NA,NA,NA,NA,NA,1,9,4,1,2020,1,5,NA,1,1,10,4,3,1,4,3,1,2,1,NA,1,1,2,NA,1,2,1,1,1,3,4,1,1,5,140,10,7
1,1,1,59,3,1,4,4,5,6,1,7412,38,36.92,60,NA,NA,NA,1,NA,3800,NA,20,4000,NA,4000,NA,21,1,1,4,4,NA,NA,NA,NA,NA,NA,7,3,2,1,3,2,2,4,3,1,3,1,1,2,2,2,1,1,2,2,2,3,2,4,80,5,3
2,1,1,70,4,12,1,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,16,NA,16,16,1,1,4,3,2019,2,5,NA,2,2,8,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,NA,NA,NA,NA,NA,160,NA,5
1,1,2,40,2,6,4,5,4,4,1,4419,37,44.72,40,1,3,NA,5,1,NA,13,13,NA,22,NA,22,22,1,1,7,3,NA,NA,NA,NA,NA,NA,9,3,3,1,2,3,3,3,3,1,1,2,1,2,1,2,1,1,2,3,3,2,3,5,60,4,3
2,1,2,74,4,15,1,3,5,5,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,14,14,NA,NA,NA,NA,NA,1,1,7,4,1989,32,1,NA,2,2,8,3,3,NA,2,4,2,2,3,2,1,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,140,NA,NA
1,1,1,70,4,5,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,1,9000,70,NA,2,NA,2,8,2,3,NA,2,3,1,2,2,1,1,NA,2,NA,1,2,1,1,2,NA,NA,NA,NA,NA,20,10,7
1,1,1,71,4,7,4,5,5,6,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,11,11,NA,NA,NA,NA,NA,1,1,7,2,NA,NA,NA,NA,NA,NA,9,3,3,2,1,1,3,3,4,1,1,2,1,3,2,2,2,2,2,5,5,2,3,5,50,6,5
1,1,1,41,2,6,4,5,4,4,4,NA,NA,NA,NA,NA,NA,6,5,1,NA,16,16,NA,NA,NA,16,16,2,NA,5,2,2007,14,1,2,NA,1,2,3,2,2,2,2,2,2,2,1,2,1,2,NA,1,1,1,NA,5,1,1,4,4,3,50,10,7
1,1,1,49,3,8,4,2,3,3,1,8342,32,24.45,40,3,NA,NA,1,NA,2500,NA,17,NA,NA,NA,NA,NA,1,2,6,4,9000,49,NA,2,NA,2,6,2,2,NA,1,1,1,3,3,2,2,NA,1,3,1,2,1,1,2,NA,NA,NA,NA,NA,50,4,4
1,3,2,37,2,95,NA,NA,5,7,1,NA,NA,NA,37.5,1,NA,NA,1,NA,1500,NA,13,3200,NA,3200,NA,19,1,2,5,3,2014,7,6,2,NA,1,NA,2,2,2,2,2,2,4,4,1,2,1,1,2,1,1,1,2,1,2,4,2,5,4,90,7,3
1,1,1,28,1,7,4,NA,5,6,1,5222,42.78,44.14,44.5,3,NA,NA,1,NA,NA,14,14,NA,19,NA,19,19,1,1,4,2,NA,NA,NA,NA,NA,NA,7,3,2,2,2,2,4,4,3,1,3,2,1,3,1,1,1,2,2,2,3,4,3,5,30,5,4
1,1,2,58,3,95,NA,2,3,3,2,5223,42.78,28.48,25,2,5,NA,1,NA,NA,8,8,NA,18,NA,18,18,1,2,6,4,NA,NA,NA,NA,NA,NA,10,2,1,2,2,2,3,3,2,1,2,1,1,3,1,2,2,1,2,1,2,4,4,5,50,9,4
1,1,2,47,3,8,4,3,3,3,2,4110,42.09,43.33,20,1,6,NA,1,NA,NA,6,6,NA,15,NA,15,15,1,1,6,4,NA,NA,NA,NA,NA,NA,0,3,1,2,2,2,4,4,4,2,2,2,2,NA,1,1,1,1,3,3,3,3,4,5,50,7,3
2,1,1,73,4,15,1,3,5,5,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,14,14,NA,20,NA,20,20,1,1,4,1,9000,73,NA,NA,2,2,8,3,3,2,4,3,2,2,2,2,2,1,1,2,2,2,2,2,3,5,4,2,2,5,140,10,7
2,1,1,33,2,95,NA,3,5,5,1,2149,55,78.69,36,1,NA,NA,4,2,2500,NA,17,4000,NA,4000,NA,21,1,2,1,1,2011,10,1,NA,2,1,7,3,2,NA,2,3,2,1,2,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,112,10,7
1,1,1,57,3,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,6,5,1,NA,NA,NA,NA,10,NA,10,10,1,1,4,2,2011,10,1,2,NA,1,1,1,1,2,3,2,3,4,3,2,2,1,1,3,1,2,1,1,5,4,1,4,4,3,50,8,6
2,3,2,42,2,95,NA,3,2,2,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,9,9,NA,9,NA,9,9,1,3,3,2,NA,NA,NA,NA,NA,NA,5,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,120,4,4
1,1,1,77,5,8,4,4,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,4,9000,77,NA,2,NA,2,9,4,3,1,3,2,2,1,2,2,1,2,1,2,1,2,1,1,2,3,4,2,2,5,50,10,6
1,1,1,56,3,8,4,5,4,4,1,2521,51,75.13,38.5,1,NA,NA,5,2,3000,NA,19,NA,NA,3000,NA,19,2,NA,4,1,2001,20,4,1,NA,1,7,3,3,NA,3,2,3,2,3,2,2,NA,1,3,1,1,2,2,2,NA,NA,NA,NA,NA,50,10,6
1,1,1,65,4,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,NA,NA,NA,NA,1,NA,5,4,NA,NA,NA,NA,NA,NA,8,2,2,2,2,3,2,2,3,2,2,1,1,2,1,2,1,2,3,3,3,2,3,3,90,1,1
1,1,1,42,2,6,4,4,5,5,2,3112,52.72,59.35,41,1,NA,NA,1,NA,3000,NA,19,NA,21,NA,21,21,1,3,7,4,9000,42,NA,1,NA,2,7,3,3,NA,3,4,2,2,2,2,2,NA,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,60,7,3
1,1,1,30,2,1,4,3,3,3,1,7223,37.87,28.7,40,2,5,NA,5,2,900,NA,8,NA,NA,900,NA,8,2,NA,4,3,9000,30,NA,1,NA,2,5,2,1,NA,1,1,3,4,4,1,3,NA,1,3,1,1,1,1,3,NA,NA,NA,NA,NA,80,3,3
2,1,2,51,3,17,1,NA,6,8,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,22,22,NA,23,NA,23,23,1,2,7,2,1995,26,2,NA,1,2,10,5,4,NA,2,1,4,3,4,2,2,NA,2,NA,1,2,1,1,1,NA,NA,NA,NA,NA,140,8,6
2,1,2,57,3,16,1,3,3,3,1,3313,43.81,55.25,40,1,NA,NA,1,NA,NA,15,15,NA,21,NA,21,21,1,1,1,3,NA,NA,NA,NA,NA,NA,8,3,3,1,2,2,4,4,4,2,1,2,1,3,1,2,2,2,2,3,4,2,2,5,150,5,3
1,1,NA,NA,NA,1,4,3,3,3,1,NA,NA,NA,40,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,3,2017,4,1,2,NA,1,3,3,2,2,2,2,3,4,3,2,2,1,1,1,1,2,1,1,1,2,4,3,3,5,80,8,5
2,1,1,65,4,14,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,15,NA,15,15,1,1,7,3,9000,65,NA,NA,2,1,7,3,2,2,3,3,3,3,3,1,2,2,1,3,1,1,1,1,3,4,3,3,3,3,130,4,4
1,1,2,27,1,8,4,3,3,3,1,4321,30.28,32.5,40,3,NA,NA,1,NA,2100,NA,15,4300,NA,4300,NA,21,1,1,7,3,NA,NA,NA,NA,NA,NA,6,2,2,2,2,3,4,3,4,1,2,1,1,3,1,1,1,1,4,1,1,4,4,3,50,5,3
1,1,2,63,4,10,4,5,4,4,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,3,NA,NA,NA,NA,NA,NA,7,NA,2,2,2,3,2,2,3,3,2,1,1,2,2,2,1,1,3,1,1,4,4,2,100,7,3
1,2,2,47,3,8,4,4,4,4,2,3221,44,56,37,1,NA,NA,1,NA,NA,13,13,NA,22,NA,22,22,1,4,7,4,2011,10,1,2,NA,1,8,3,3,NA,2,2,4,4,4,1,2,NA,1,3,1,2,1,1,3,NA,NA,NA,NA,NA,50,4,4
1,1,1,60,4,18,NA,4,5,5,1,8189,25,24.16,35,1,NA,NA,1,NA,NA,16,16,NA,16,NA,16,16,1,2,7,3,NA,NA,NA,NA,NA,NA,9,2,3,1,2,4,2,2,3,2,1,2,1,2,1,1,1,1,2,3,3,2,3,5,50,4,4
1,1,1,63,4,7,4,2,3,3,1,7131,30.92,22.77,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,3,9000,63,NA,2,NA,2,8,3,3,2,3,3,3,2,3,1,2,1,1,2,1,1,1,1,2,3,5,2,2,5,30,3,3
1,1,2,66,4,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,14,14,NA,19,NA,19,19,1,1,7,4,2010,11,1,2,NA,2,9,3,3,1,3,2,4,4,3,2,2,2,1,3,1,2,1,2,2,5,5,5,3,5,90,7,3
1,1,2,53,3,6,4,5,4,4,2,2423,55.8,68.55,25.5,1,4,NA,5,1,NA,14,14,NA,26,NA,26,26,1,1,4,4,NA,NA,NA,NA,NA,NA,8,4,3,2,3,4,3,3,2,2,1,1,2,NA,2,2,1,2,2,2,5,3,3,5,60,9,3
1,1,2,21,1,8,4,5,3,3,4,NA,NA,NA,NA,NA,NA,1,5,1,110,NA,1,5000,NA,5000,NA,23,1,3,7,2,NA,NA,NA,NA,NA,NA,7,3,3,2,2,2,NA,4,3,1,2,2,1,3,2,1,1,1,2,2,4,3,3,4,50,10,7
1,1,2,37,2,6,4,5,5,7,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2500,NA,2500,NA,17,1,4,4,1,2017,4,5,1,NA,1,7,3,3,2,2,2,4,4,4,1,1,2,1,3,1,2,2,2,1,2,3,2,3,5,60,8,6
1,1,2,78,5,8,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,13,13,NA,NA,NA,13,13,2,NA,6,1,NA,NA,NA,NA,NA,NA,10,3,3,1,2,NA,NA,NA,2,NA,1,2,1,2,1,2,2,1,2,4,3,2,3,4,100,8,6
2,1,1,78,5,16,1,3,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,17,NA,17,17,1,1,4,3,NA,NA,NA,NA,NA,NA,8,NA,2,2,1,3,2,3,3,3,2,NA,1,2,1,NA,1,1,2,5,4,2,2,4,150,7,5
1,1,1,66,4,3,4,5,5,7,2,4312,34,57.38,20,NA,NA,NA,1,NA,NA,21,21,NA,NA,NA,NA,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,9,3,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,3,3,3,3,2,4,30,3,3
1,1,2,44,2,7,4,4,5,5,1,3254,57,59.85,48,NA,NA,NA,1,NA,NA,17,17,NA,22,NA,22,22,1,3,7,3,NA,NA,NA,NA,NA,NA,7,3,3,1,3,2,4,4,3,1,1,2,1,2,1,2,2,1,3,2,3,3,3,4,30,5,4
1,1,2,38,2,12,2,5,5,7,2,2611,73.1,86.72,26.5,1,NA,NA,1,NA,NA,15,15,NA,25,NA,25,25,1,4,7,4,2011,10,2,2,NA,2,10,4,3,1,4,3,2,3,2,2,1,1,1,2,2,2,2,2,2,2,3,3,4,5,100,7,3
2,1,1,70,4,15,1,2,2,2,4,NA,NA,NA,NA,NA,NA,2,2,2,NA,9,9,NA,NA,NA,9,9,2,NA,1,3,2018,3,6,NA,1,1,3,2,4,1,3,2,3,2,4,2,2,1,1,2,1,1,1,2,3,3,2,4,3,2,140,5,2
2,1,1,64,4,14,1,5,3,3,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,8,NA,NA,NA,NA,NA,1,1,6,3,1981,40,1,NA,2,2,6,2,2,2,2,3,4,2,3,1,2,2,1,2,1,2,1,1,3,3,2,3,5,3,130,2,2
2,1,2,68,4,17,1,5,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,3,NA,NA,NA,NA,NA,NA,5,3,2,2,2,1,4,3,3,1,2,2,1,3,1,2,1,2,4,3,3,3,3,4,120,9,4
1,1,2,42,2,1,4,3,3,3,2,3221,44,56,22,1,NA,NA,1,NA,NA,8,8,NA,14,NA,14,14,1,4,7,4,2017,4,2,2,NA,2,8,3,1,2,1,2,4,4,4,1,2,1,1,2,1,1,1,1,2,3,3,4,3,5,80,2,2
1,1,1,19,1,7,4,5,3,3,4,NA,NA,NA,NA,NA,NA,5,5,1,NA,4,4,NA,22,NA,22,22,1,2,7,3,NA,NA,NA,NA,NA,NA,9,3,3,2,2,3,3,4,4,2,1,1,1,3,1,2,2,1,1,1,4,3,1,5,30,5,4
2,1,1,33,2,16,1,4,4,4,1,1114,54.88,71.29,38,1,NA,NA,1,NA,2400,NA,16,4100,NA,4100,NA,21,1,2,4,2,2019,2,2,NA,1,1,6,2,2,NA,2,1,4,4,4,1,2,NA,1,3,1,1,1,1,3,NA,NA,NA,NA,NA,120,9,4
1,1,1,62,4,7,4,2,3,3,1,7222,39.96,33.16,39.8,1,NA,NA,1,NA,NA,16,16,NA,18,NA,18,18,1,1,7,2,9000,62,NA,2,NA,2,8,2,2,NA,2,3,3,3,3,2,1,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,30,8,6
1,1,2,33,2,2,4,4,4,4,2,3343,48.81,54.55,25,1,NA,NA,1,NA,NA,8,8,NA,23,NA,23,23,1,3,5,4,2007,14,1,2,NA,2,8,4,3,NA,3,3,2,2,3,2,1,NA,1,2,1,1,1,1,4,NA,NA,NA,NA,NA,90,4,3
2,1,1,64,4,16,1,3,5,5,1,1321,64,65.42,40,1,2,NA,1,NA,NA,15,15,NA,22,NA,22,22,1,4,7,4,NA,NA,NA,NA,NA,NA,8,NA,2,2,3,3,2,2,3,1,1,2,1,1,1,2,2,2,3,3,5,1,2,5,150,4,1
2,1,2,58,3,16,1,3,3,3,1,4110,42.09,43.33,32.5,1,NA,NA,4,1,NA,16,16,NA,17,NA,17,17,1,1,7,4,2021,0,1,NA,1,1,9,3,3,NA,3,3,4,3,4,2,2,NA,1,3,2,2,1,2,2,NA,NA,NA,NA,NA,150,4,1
1,1,1,80,5,1,4,5,4,4,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,20,20,NA,NA,NA,20,20,2,NA,7,2,1990,31,4,2,NA,2,9,4,3,NA,3,3,2,1,2,2,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,50,10,6
1,1,2,18,1,1,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,4,4,NA,NA,NA,NA,NA,1,2,7,1,2013,8,1,2,NA,1,10,4,3,2,2,4,4,2,3,1,1,2,2,NA,2,2,2,2,2,5,2,4,4,2,80,10,6
2,3,2,36,2,95,NA,5,5,7,1,2342,49,58.77,33.5,1,NA,NA,5,1,NA,14,14,NA,18,NA,18,18,1,1,4,1,2016,5,6,NA,1,1,10,3,3,1,3,2,3,3,3,1,1,2,1,3,1,1,1,2,1,2,4,2,2,5,140,10,7
2,1,2,79,5,12,1,3,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,2,NA,11,NA,11,11,1,1,7,5,1946,75,1,NA,2,2,5,3,1,2,4,2,2,1,4,1,3,2,2,NA,1,2,1,1,4,5,5,3,3,5,120,5,2
1,1,2,40,2,7,4,5,4,4,2,NA,NA,NA,24,1,NA,NA,1,NA,NA,10,10,NA,19,NA,19,19,1,2,7,3,9000,40,NA,2,NA,2,7,3,2,2,3,3,3,3,3,1,1,1,1,2,1,1,1,2,2,2,3,4,3,5,30,8,5
1,1,1,47,3,8,4,5,5,7,1,1420,45.13,51.56,50,1,NA,NA,1,NA,9000,NA,25,NA,NA,NA,NA,NA,1,4,7,2,2000,21,1,1,NA,1,8,4,3,NA,3,3,3,4,3,2,1,NA,1,3,2,2,1,1,2,NA,NA,NA,NA,NA,50,10,7
1,1,2,54,3,1,4,5,5,7,2,2423,55.8,68.55,32,1,NA,NA,1,NA,3000,NA,19,10000,NA,10000,NA,26,1,3,5,3,2016,5,5,2,NA,1,10,4,3,1,2,2,4,3,4,2,1,2,1,3,1,1,1,1,2,4,3,3,4,3,80,3,3
2,1,1,64,4,12,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,1850,NA,14,3500,NA,3500,NA,20,1,1,7,3,2000,21,2,NA,1,1,8,3,2,NA,2,1,4,4,3,1,1,NA,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,120,9,4
1,1,2,79,5,6,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,18,18,NA,NA,NA,18,18,2,NA,4,1,2006,15,3,2,NA,2,7,3,3,1,3,3,2,2,2,1,1,2,1,3,2,1,1,1,4,3,3,2,3,3,50,10,7
1,1,1,38,2,2,4,3,3,3,1,NA,NA,NA,40,1,NA,NA,5,1,NA,16,16,NA,NA,NA,16,16,2,NA,7,4,NA,NA,NA,NA,NA,NA,9,3,2,2,2,3,3,2,2,2,1,1,1,2,1,2,1,1,1,2,4,4,4,4,90,9,2
1,1,1,36,2,7,4,4,5,6,1,3355,54.64,63.03,40,1,NA,NA,1,NA,NA,18,18,NA,22,NA,22,22,1,1,7,3,2020,1,1,2,NA,1,8,4,3,NA,3,3,3,3,2,2,2,NA,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,30,3,3
1,1,2,34,2,8,4,NA,5,6,3,NA,NA,NA,NA,NA,NA,6,5,2,NA,16,16,NA,NA,NA,16,16,2,NA,7,3,9000,34,NA,1,NA,1,8,3,2,NA,4,2,4,4,4,1,2,NA,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,50,7,3
1,1,2,69,4,1,4,5,4,4,1,2642,62.99,72.83,63.5,NA,NA,NA,1,NA,NA,19,19,NA,19,NA,19,19,1,1,7,2,9000,69,NA,2,NA,2,7,4,2,NA,2,3,3,2,3,2,1,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,80,8,5
1,1,1,40,2,6,4,4,5,6,1,2141,54,79.05,40,1,NA,NA,5,1,2500,NA,17,5500,NA,5500,NA,23,1,3,7,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,4,2,3,NA,3,2,2,NA,2,NA,NA,2,1,2,2,3,4,3,3,5,60,8,6
1,1,1,45,3,6,4,5,5,7,1,2432,57,73.91,40,1,NA,NA,1,NA,2500,NA,17,4000,NA,4000,NA,21,1,1,3,1,2006,15,1,1,NA,1,9,3,3,NA,3,3,2,2,2,2,2,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,60,10,7
1,1,2,28,1,8,4,5,5,6,3,NA,NA,NA,NA,NA,NA,1,5,1,800,NA,7,NA,NA,800,NA,7,2,NA,3,2,NA,NA,NA,NA,NA,NA,8,3,4,1,2,3,2,3,2,1,1,2,1,2,2,2,2,1,2,3,4,2,3,2,50,10,6
1,1,2,66,4,7,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,NA,NA,NA,NA,1,2,7,4,9000,66,NA,2,NA,2,10,3,3,1,3,3,3,3,2,NA,1,2,1,2,2,2,2,1,2,3,5,2,3,5,30,5,3
2,1,1,58,3,9,3,5,5,7,1,2619,69.4,81.05,50,1,NA,NA,1,NA,NA,23,23,NA,NA,NA,NA,NA,1,3,7,3,2006,15,1,NA,1,2,9,4,3,NA,3,2,2,2,2,3,1,NA,1,2,2,2,1,1,3,NA,NA,NA,NA,NA,160,5,3
