respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
2008,1,1,1,46,3,1,4,5,5,7,1,2212,78.01,81.92,40,1,NA,NA,1,NA,NA,22,22,NA,24,NA,24,24,1,3,7,4,2018,3,5,1,NA,1,7,3,3,1,2,2,3,3,3,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,30,7,3
2009,2,1,1,53,3,15,1,3,3,3,1,5244,26,38.88,40,1,3,NA,5,2,1200,NA,10,NA,NA,1200,NA,10,2,NA,3,4,9000,53,NA,NA,2,1,10,2,2,2,2,3,2,3,3,2,1,1,1,1,1,2,1,1,1,3,3,2,2,4,140,5,2
2010,1,1,1,68,4,11,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,19,19,NA,19,NA,19,19,1,1,7,3,9000,68,NA,2,NA,2,7,3,2,1,4,3,2,3,2,2,1,1,1,2,2,2,2,1,3,3,4,4,3,5,10,4,3
2011,1,1,1,52,3,95,NA,3,3,3,1,7223,37.87,28.7,40,1,NA,NA,1,NA,NA,13,13,NA,20,NA,20,20,1,2,7,3,NA,NA,NA,NA,NA,NA,7,2,2,1,3,3,1,2,3,1,1,1,1,2,1,2,1,2,3,3,5,2,1,5,30,8,6
2012,1,1,2,58,3,8,4,2,2,2,1,3323,48.86,56.35,38,1,NA,NA,1,NA,NA,16,16,NA,20,NA,20,20,1,1,7,4,2010,11,1,1,NA,1,10,3,3,2,3,2,3,4,3,1,1,2,1,2,2,1,1,2,2,2,3,3,3,5,50,3,3
2013,1,1,2,70,4,1,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,2000,NA,15,6000,NA,6000,NA,24,1,1,7,3,1983,38,1,2,NA,2,10,3,3,1,2,1,4,3,4,1,1,2,1,2,2,2,2,1,3,4,3,2,3,5,80,4,3
2014,1,1,2,46,3,2,4,3,3,3,2,NA,NA,NA,30,3,NA,NA,1,NA,NA,12,12,NA,23,NA,23,23,1,1,5,2,9000,46,NA,2,NA,2,5,3,4,NA,3,4,2,2,2,2,2,NA,1,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,90,7,3
2015,2,1,2,66,4,15,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,14,14,NA,17,NA,17,17,1,1,4,4,NA,NA,NA,NA,NA,NA,8,3,3,2,2,3,3,3,3,2,1,2,1,3,1,2,NA,1,3,3,3,4,3,3,140,7,4
2016,1,1,1,27,1,2,4,3,3,3,1,3123,45.94,37.83,45,1,NA,NA,5,1,NA,17,17,NA,19,NA,19,19,1,1,6,4,9000,27,NA,2,NA,1,9,2,1,1,3,3,2,1,3,1,2,2,1,3,1,1,1,1,3,1,1,4,3,5,90,1,1
2017,2,1,1,33,2,17,1,3,3,3,1,5223,42.78,28.48,40,1,NA,NA,5,1,NA,14,14,NA,NA,NA,NA,NA,1,2,7,3,NA,NA,NA,NA,NA,NA,8,4,2,2,2,2,3,3,3,2,2,1,2,NA,2,2,2,1,2,3,4,2,3,5,160,2,2
2018,1,1,1,36,2,11,4,NA,5,7,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,19,NA,19,19,1,1,6,4,2012,9,2,1,NA,1,7,4,4,NA,3,2,4,4,3,4,4,NA,1,3,1,2,1,2,2,NA,NA,NA,NA,NA,60,9,3
2019,1,1,2,51,3,6,4,3,3,3,2,4110,42.09,43.33,20,1,NA,NA,1,NA,NA,9,9,NA,18,NA,18,18,1,1,7,4,NA,NA,NA,NA,NA,NA,3,3,2,2,3,2,3,3,3,1,2,2,1,2,1,NA,1,1,2,3,4,2,3,5,60,7,3
2020,1,1,1,80,5,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,13,13,NA,16,NA,16,16,1,2,5,4,2013,8,1,2,NA,2,5,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,NA,NA,NA,NA,NA,50,9,5
2021,2,1,1,57,3,17,1,3,5,5,1,1349,75,65.01,38,1,NA,NA,1,NA,NA,16,16,NA,21,NA,21,21,1,1,1,3,9000,57,NA,NA,2,2,9,3,NA,NA,3,4,3,2,4,3,2,NA,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,160,4,4
2022,1,2,2,26,1,7,4,5,5,7,3,NA,NA,NA,NA,NA,NA,1,5,1,640,NA,6,7000,NA,7000,NA,24,1,4,7,4,2016,5,1,1,NA,1,8,3,2,NA,3,4,3,3,3,2,2,NA,1,3,1,1,1,2,2,NA,NA,NA,NA,NA,30,3,3
2023,1,1,2,68,4,2,4,5,5,7,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,2,3,2,3,3,2,3,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,90,8,5
2024,2,1,2,39,2,17,1,5,5,7,2,3353,54.64,54.27,36,1,NA,NA,1,NA,NA,15,15,NA,24,NA,24,24,1,3,7,3,NA,NA,NA,NA,NA,NA,9,4,2,1,3,3,3,NA,NA,2,1,1,2,NA,NA,2,2,2,1,4,4,2,2,5,160,NA,5
2025,1,1,1,61,4,1,4,4,5,7,1,NA,NA,NA,40,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,3,NA,NA,NA,2,NA,1,8,4,3,2,1,2,2,2,3,1,1,2,1,3,1,2,1,1,2,3,4,2,2,5,100,7,3
2026,2,1,1,26,1,16,1,5,5,7,1,2512,51,74.66,38,1,NA,NA,5,2,NA,16,16,NA,NA,NA,16,16,2,NA,4,1,NA,NA,NA,NA,NA,NA,10,4,3,1,2,4,2,2,1,1,1,1,1,2,1,2,2,1,2,3,3,1,2,NA,150,8,6
2027,1,1,2,52,3,8,4,3,3,3,2,4110,42.09,43.33,30,1,3,NA,1,NA,NA,14,14,NA,24,NA,24,24,1,1,7,3,1995,26,2,2,NA,1,8,3,4,2,2,1,2,3,3,2,1,2,1,2,1,1,1,1,3,2,2,4,3,5,50,5,4
2028,1,1,1,33,2,2,4,3,5,5,1,NA,NA,NA,39,1,NA,NA,1,NA,NA,18,18,NA,20,NA,20,20,1,4,7,4,NA,NA,NA,NA,NA,NA,7,3,2,2,2,2,2,4,3,2,2,2,2,NA,1,2,2,1,3,2,3,3,3,5,90,9,2
2029,1,1,1,29,1,11,4,5,5,6,1,3423,49.63,50.9,40,3,NA,NA,1,NA,NA,14,14,NA,18,NA,18,18,1,2,4,3,9000,29,NA,1,NA,1,8,2,3,NA,3,3,4,2,3,1,1,NA,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,10,4,3
2030,2,1,1,70,4,17,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,3,2,2400,NA,16,NA,NA,2400,NA,16,2,NA,1,3,NA,NA,NA,NA,NA,NA,6,3,2,1,1,2,4,4,4,2,2,1,1,3,2,2,2,2,2,5,4,2,3,2,160,NA,5
2031,1,3,1,64,4,95,NA,5,5,6,1,3341,48.81,62.13,35,1,NA,NA,1,NA,4500,NA,22,NA,25,NA,25,25,1,2,7,2,2006,15,6,2,NA,1,8,4,3,1,3,4,3,2,3,1,1,2,2,NA,1,2,1,1,3,4,5,2,3,5,60,10,4
2032,1,1,2,59,3,8,4,4,4,4,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,2,NA,NA,NA,NA,NA,NA,10,4,3,1,4,4,1,2,2,2,1,1,1,2,1,2,2,1,1,4,5,2,2,5,60,10,4
2033,1,1,2,68,4,7,4,2,3,3,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,9,9,NA,15,NA,15,15,1,1,4,1,9000,68,NA,2,NA,2,7,1,2,2,3,2,4,4,4,2,2,2,1,3,1,1,1,1,3,3,3,2,3,3,30,10,7
2034,1,1,1,55,3,8,4,5,5,7,2,2354,62.28,68.88,32,1,NA,NA,1,NA,3000,NA,19,7000,NA,7000,NA,24,1,1,7,4,2012,9,1,1,NA,1,8,3,3,NA,3,2,3,3,3,2,2,NA,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,80,5,2
2035,2,1,2,55,3,13,1,3,3,3,2,3359,54.64,64.4,37,1,NA,NA,1,NA,2200,NA,15,4200,NA,4200,NA,21,1,1,7,2,NA,NA,NA,NA,NA,NA,6,3,3,2,3,4,3,4,4,2,1,1,1,1,2,2,1,2,3,3,2,3,3,4,120,9,4
