respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
2053,1,1,2,64,4,7,4,4,5,7,4,NA,NA,NA,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,2,3,3,2,1,1,1,2,1,2,2,1,5,4,5,2,5,5,30,7,5
2054,1,1,2,25,1,2,4,4,5,5,1,4110,42.09,43.33,39,2,NA,NA,5,1,NA,10,10,NA,NA,NA,NA,NA,1,1,4,4,2014,7,4,2,NA,1,6,3,2,NA,1,2,4,2,3,1,2,NA,1,3,1,2,2,1,1,NA,NA,NA,NA,NA,90,2,2
2055,2,1,1,50,3,13,1,3,3,3,1,8342,32,24.45,40,1,NA,NA,5,2,1900,NA,14,NA,NA,1900,NA,14,2,NA,7,4,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,2,4,3,3,2,2,NA,1,3,1,1,1,1,3,NA,NA,NA,NA,NA,120,5,2
2056,1,1,2,93,6,14,2,NA,6,8,4,NA,NA,NA,NA,NA,NA,NA,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,6,1,9000,93,NA,2,NA,2,10,4,4,1,2,3,1,1,2,1,1,1,1,2,1,2,2,2,3,5,5,1,2,5,50,10,7
2057,1,1,1,33,2,8,4,5,5,7,1,1120,64.51,70.34,42,1,3,NA,1,NA,NA,14,14,NA,20,NA,20,20,1,1,4,3,2020,1,2,2,NA,1,9,2,2,2,1,1,4,4,4,1,3,2,1,3,1,2,1,2,1,1,3,3,3,5,50,10,4
2058,1,1,1,63,4,18,NA,2,3,3,4,NA,NA,NA,NA,NA,NA,2,2,1,NA,12,12,NA,14,NA,14,14,1,1,6,3,1989,32,6,2,NA,2,5,3,2,NA,4,3,4,3,1,1,1,NA,1,1,2,2,2,1,5,NA,NA,NA,NA,NA,70,8,3
2059,1,1,1,20,1,7,4,5,3,3,2,5223,42.78,28.48,35,1,NA,NA,5,2,NA,9,9,NA,23,NA,23,23,1,3,7,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,3,2,4,4,4,1,2,2,1,3,1,1,1,1,1,1,3,2,2,3,30,9,5
2060,2,1,1,59,3,16,1,3,3,3,1,3122,45.94,40.54,45.5,1,NA,NA,5,1,NA,15,15,NA,20,NA,20,20,1,1,7,4,2006,15,1,NA,1,1,10,3,3,1,2,2,4,2,2,2,1,2,1,2,2,2,2,2,2,4,5,2,2,5,150,4,1
2061,2,1,2,37,2,14,1,3,3,3,1,2642,62.99,72.83,NA,NA,4,NA,1,NA,NA,4,4,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,9,NA,NA,2,2,NA,3,3,4,2,2,1,1,2,2,1,1,1,1,3,5,1,2,5,112,10,7
2062,1,1,1,54,3,6,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,3,2018,3,3,2,NA,2,8,3,3,NA,2,1,3,3,3,2,1,NA,1,3,1,2,2,2,4,NA,NA,NA,NA,NA,60,9,3
