respid,age,sex,wohnort,isced97,work,dw15,mstat,hhincc,hs04_r,hs06,hs07,hs05_r,hs09_r,distress,im17_r,im18_r,im19_r,im20_r,im21_r,soz.u,soz.u_na,soz.u_rmt,distress_na,distress_rmt
787,57,2,Rural,3,1,33,5,12,3,2,4,3,3,15,3,3,2,3,3,14,14,14,15,15
788,29,1,Urban,3,1,35,NA,22,4,4,2,4,4,18,4,2,3,1,1,11,11,11,18,18
790,53,2,Urban,5,4,NA,1,16,2,2,3,3,1,11,3,3,1,1,1,9,9,9,11,11
791,76,1,Urban,5,4,NA,1,20,2,2,3,3,2,12,2,1,2,3,3,11,11,11,12,12
793,31,1,Urban,5,1,41,5,NA,3,1,2,1,1,8,2,2,3,3,2,12,12,12,8,8
794,34,2,Urban,5,2,35,1,19,4,3,2,3,1,13,3,2,1,2,2,10,10,10,13,13
795,64,2,Rural,3,3,NA,1,13,2,2,2,2,1,9,4,4,4,3,1,16,16,16,9,9
796,35,1,Urban,5,1,60,5,17,4,3,4,4,4,19,3,1,4,1,1,10,10,10,19,19
797,66,1,Urban,3,4,NA,5,13,1,2,3,3,2,11,4,4,4,3,3,18,18,18,11,11
799,27,1,Urban,4,4,NA,5,NA,1,1,4,3,2,11,4,3,2,1,1,11,11,11,11,11
800,34,1,Urban,3,1,36,1,23,5,3,2,3,3,16,4,4,1,1,1,11,11,11,16,16
801,80,2,Urban,3,4,NA,NA,NA,2,3,5,4,4,18,4,3,4,4,4,19,19,19,18,18
802,78,1,Urban,5,4,NA,1,NA,1,2,3,2,1,9,3,2,3,3,3,14,14,14,9,9
803,60,1,Urban,3,1,38.5,1,17,3,3,3,3,1,13,4,2,3,3,2,14,14,14,13,13
806,39,1,Urban,3,1,30.9,1,22,2,2,2,3,1,10,2,3,2,1,2,10,10,10,10,10
807,38,1,Urban,2,1,40,2,13,4,4,4,4,4,20,3,4,1,2,1,11,11,11,20,20
809,67,2,Urban,5,4,NA,5,9,4,3,4,4,1,16,2,4,2,1,2,11,11,11,16,16
810,82,1,Rural,3,4,NA,1,15,1,3,3,3,2,12,3,2,3,2,1,11,11,11,12,12
811,40,2,Rural,5,2,12,1,NA,4,3,4,2,1,14,2,2,3,3,2,12,12,12,14,14
812,21,2,Urban,3,4,NA,5,23,3,2,3,3,5,16,2,2,2,2,2,10,10,10,16,16
813,34,2,Urban,5,1,45,5,26,2,2,2,2,1,9,3,1,1,2,2,9,9,9,9,9
815,59,1,Urban,3,1,42,1,20,5,4,3,4,1,17,2,3,1,1,1,8,8,8,17,17
817,56,1,Urban,3,1,40,1,19,4,3,3,2,2,14,2,2,2,2,2,10,10,10,14,14
818,83,1,Urban,3,4,NA,3,17,4,4,4,4,4,20,3,3,2,3,3,14,14,14,20,20
820,33,2,Urban,3,2,30.5,1,18,4,3,4,4,2,17,3,3,4,2,1,13,13,13,17,17
821,70,1,Rural,5,4,NA,1,18,2,2,2,1,1,8,1,1,1,2,2,7,7,7,8,8
823,47,2,Urban,3,4,NA,1,14,4,3,4,3,4,18,3,3,4,2,1,13,13,13,18,18
828,19,2,Urban,3,1,40,5,NA,2,2,2,3,1,10,2,3,2,2,3,12,12,12,10,10
830,39,2,Rural,3,2,35,5,NA,4,4,3,3,2,16,3,4,2,1,2,12,12,12,16,16
831,49,2,Urban,5,1,40,1,20,3,3,3,3,3,15,3,2,1,2,2,10,10,10,15,15
833,75,2,Urban,2,4,NA,1,20,3,2,4,2,1,12,3,1,2,2,2,10,10,10,12,12
834,71,2,Rural,3,2,40,1,20,3,3,2,4,3,15,3,3,1,1,2,10,10,10,15,15
836,49,2,Urban,5,1,40,1,23,2,2,3,2,1,10,2,2,2,2,1,9,9,9,10,10
838,71,1,Urban,5,4,NA,4,13,2,2,3,1,1,9,2,2,2,2,1,9,9,9,9,9
843,61,1,NA,3,4,NA,5,9,1,2,5,1,5,14,2,3,1,1,1,8,8,8,14,14
844,33,2,Urban,5,4,NA,1,NA,4,2,2,2,1,11,4,3,2,2,1,12,12,12,11,11
847,50,2,Rural,5,1,40,1,22,4,2,2,3,2,13,3,3,2,2,2,12,12,12,13,13
848,54,2,Urban,5,2,32,1,19,2,2,2,1,1,8,2,4,1,1,1,9,9,9,8,8
850,52,1,Urban,3,1,70,4,23,5,4,3,4,2,18,2,1,1,1,2,7,7,7,18,18
851,62,1,Urban,5,4,NA,1,22,1,2,2,2,1,8,3,1,3,3,2,12,12,12,8,8
852,26,1,Rural,5,4,NA,5,NA,1,3,3,1,1,9,2,3,3,2,2,12,12,12,9,9
853,33,1,Urban,5,1,40,5,22,4,2,3,3,2,14,3,3,1,2,1,10,10,10,14,14
855,68,1,Urban,5,4,NA,1,21,1,1,2,1,2,7,2,2,3,3,3,13,13,13,7,7
857,38,1,Urban,3,1,40,5,15,1,2,3,2,3,11,3,1,4,3,2,13,13,13,11,11
858,59,2,Urban,3,2,30,3,8,3,2,4,4,5,18,2,2,1,2,1,8,8,8,18,18
861,48,2,Rural,3,2,28,1,NA,3,2,1,2,1,9,3,3,2,1,1,10,10,10,9,9
862,41,1,Urban,3,1,39.5,5,NA,3,2,3,1,1,10,2,3,3,2,3,13,13,13,10,10
863,58,2,Urban,5,4,NA,4,NA,3,3,4,4,4,18,3,4,1,1,1,10,10,10,18,18
865,20,2,Urban,2,1,38,5,7,5,3,2,3,4,17,3,4,2,2,2,13,13,13,17,17
866,60,1,Urban,3,NA,NA,5,15,3,3,3,3,3,15,3,3,2,2,1,11,11,11,15,15
869,63,2,Urban,3,4,NA,3,13,2,2,4,3,4,15,3,3,3,3,3,15,15,15,15,15
871,27,1,Urban,5,1,45,5,16,4,3,3,4,3,17,2,1,2,3,3,11,11,11,17,17
872,56,2,Urban,3,1,40,3,16,4,2,3,2,1,12,2,1,3,2,2,10,10,10,12,12
874,61,2,Urban,4,2,28.5,3,17,3,2,4,4,3,16,3,4,1,1,1,10,10,10,16,16
875,47,2,Rural,5,3,NA,1,23,3,4,4,3,2,16,2,2,1,1,1,7,7,7,16,16
876,75,2,Urban,3,4,NA,1,12,1,1,2,1,1,6,3,4,2,2,2,13,13,13,6,6
877,67,2,Urban,5,4,NA,1,21,3,4,3,3,1,14,2,3,3,4,4,16,16,16,14,14
878,70,2,Urban,3,4,NA,1,19,3,2,2,2,1,10,2,1,2,4,1,10,10,10,10,10
879,45,2,Rural,5,2,16,1,21,3,3,3,3,1,13,2,2,2,2,2,10,10,10,13,13
881,80,1,Urban,5,4,NA,1,24,1,1,2,1,1,6,2,3,4,3,3,15,15,15,6,6
883,26,1,Urban,3,1,60.5,5,8,4,3,2,4,3,16,4,4,3,1,2,14,14,14,16,16
884,61,2,Rural,3,2,30,1,NA,3,3,3,3,2,14,2,2,2,2,3,11,11,11,14,14
885,73,2,Urban,5,4,NA,3,26,2,2,2,3,1,10,2,4,2,3,2,13,13,13,10,10
886,72,2,Urban,3,4,NA,1,21,2,2,2,3,3,12,2,1,2,3,3,11,11,11,12,12
888,58,1,Rural,5,1,60,3,19,4,2,3,3,3,15,3,3,3,3,2,14,14,14,15,15
889,30,1,Urban,5,1,40,5,18,3,3,3,2,1,12,2,4,2,2,1,11,11,11,12,12
894,46,1,Urban,5,1,40,1,23,2,1,3,2,1,9,2,2,2,2,2,10,10,10,9,9
895,70,1,Rural,5,4,NA,1,15,2,2,2,3,1,10,3,2,4,1,1,11,11,11,10,10
896,31,2,Urban,4,1,38.5,5,22,5,2,3,5,5,20,3,2,1,2,1,9,9,9,20,20
897,41,1,Urban,5,1,40,1,20,3,4,3,3,2,15,3,2,3,3,2,13,13,13,15,15
899,52,1,Urban,3,1,45,1,NA,3,3,3,2,2,13,3,3,2,2,2,12,12,12,13,13
902,31,2,Urban,5,4,NA,1,19,3,5,5,4,3,20,3,1,2,1,2,9,9,9,20,20
903,63,1,Urban,4,1,46,1,19,3,3,4,2,2,14,3,3,3,2,1,12,12,12,14,14
904,73,2,Urban,3,4,NA,3,20,2,2,3,3,3,13,4,1,4,4,3,16,16,16,13,13
906,56,2,Rural,4,4,NA,1,NA,4,3,2,2,2,13,4,2,2,2,2,12,12,12,13,13
908,27,2,Urban,3,4,NA,5,12,3,2,3,2,1,11,3,4,1,1,1,10,10,10,11,11
909,40,1,Rural,3,1,40,5,14,3,3,3,4,3,16,3,3,2,2,1,11,11,11,16,16
911,49,1,Urban,3,1,40,1,23,2,2,2,2,1,9,3,2,3,3,3,14,14,14,9,9
912,56,1,Urban,4,1,40,1,25,2,2,3,3,1,11,2,1,2,2,3,10,10,10,11,11
913,87,2,Urban,5,4,NA,1,17,2,2,3,3,3,13,4,3,1,2,1,11,11,11,13,13
914,38,2,Rural,5,1,39.5,5,15,4,3,4,3,1,15,3,2,3,2,1,11,11,11,15,15
915,20,1,Urban,3,3,NA,5,13,3,2,2,2,3,12,3,3,2,2,2,12,12,12,12,12
917,52,1,Urban,5,1,39,5,20,1,2,4,1,1,9,3,3,1,1,2,10,10,10,9,9
919,78,2,Urban,3,4,NA,1,19,2,2,2,2,1,9,3,2,2,4,2,13,13,13,9,9
920,64,1,Rural,3,1,40,5,16,3,3,3,4,4,17,3,2,2,1,2,10,10,10,17,17
921,46,1,Urban,5,1,48.5,5,22,4,2,2,1,1,10,1,4,1,2,2,10,10,10,10,10
927,48,2,Rural,5,1,40,5,18,1,2,2,2,1,8,3,3,1,1,1,9,9,9,8,8
928,78,1,Urban,3,4,NA,3,15,2,3,4,3,4,16,4,3,2,2,3,14,14,14,16,16
930,53,1,Urban,3,1,40,1,18,3,3,3,3,2,14,3,1,1,1,2,8,8,8,14,14
931,36,2,Rural,3,2,25,1,NA,4,2,3,2,2,13,3,2,3,3,1,12,12,12,13,13
933,45,1,Urban,5,1,60,1,NA,4,2,2,2,1,11,1,1,3,2,3,10,10,10,11,11
934,40,2,Rural,3,1,45.5,1,18,4,4,4,4,3,19,2,3,2,3,2,12,12,12,19,19
935,68,1,Urban,5,4,NA,4,14,2,1,2,3,1,9,3,3,2,2,1,11,11,11,9,9
937,20,2,Urban,3,1,40,5,20,4,3,3,4,2,16,2,3,3,2,2,12,12,12,16,16
938,46,1,Urban,5,1,35,1,21,3,2,3,2,2,12,1,3,2,3,3,12,12,12,12,12
940,51,1,Urban,4,2,30,4,13,2,2,1,2,3,10,2,3,2,2,3,12,12,12,10,10
941,66,2,Urban,5,4,NA,1,24,1,2,2,2,2,9,2,3,3,2,3,13,13,13,9,9
943,45,2,Urban,2,2,NA,2,NA,5,1,1,4,1,12,4,4,4,4,1,17,17,17,12,12
944,25,2,Rural,4,1,45,5,12,4,3,4,3,1,15,4,2,1,1,2,10,10,10,15,15
945,76,1,Urban,5,4,NA,1,21,3,2,2,3,2,12,2,3,2,3,2,12,12,12,12,12
946,69,1,Rural,3,4,NA,1,12,2,4,3,1,1,11,3,4,2,1,1,11,11,11,11,11
949,56,2,Urban,3,2,25,5,10,3,2,2,3,4,14,2,2,1,2,2,9,9,9,14,14
951,69,2,Rural,3,4,NA,3,18,2,3,4,3,3,15,3,3,3,3,3,15,15,15,15,15
953,68,2,Rural,3,4,NA,1,14,1,2,3,2,3,11,3,3,3,2,2,13,13,13,11,11
954,31,1,Urban,5,1,39,2,21,3,3,2,3,4,15,3,2,3,2,1,11,11,11,15,15
955,63,2,Urban,5,2,30,1,23,3,3,3,2,1,12,3,2,1,2,2,10,10,10,12,12
956,49,2,Urban,4,1,40.5,4,17,4,4,3,3,1,15,3,3,2,1,1,10,10,10,15,15
957,69,1,Rural,3,4,NA,5,6,3,4,4,4,3,18,2,2,2,2,2,10,10,10,18,18
959,37,2,Urban,3,2,20,1,19,2,3,2,2,1,10,3,2,1,1,1,8,8,8,10,10
961,74,1,Urban,3,4,NA,1,16,2,3,3,3,4,15,2,3,2,3,3,13,13,13,15,15
962,33,2,Urban,6,2,25,5,NA,4,3,3,3,1,14,3,4,2,1,1,11,11,11,14,14
967,60,2,Rural,3,1,36,1,19,4,2,2,2,1,11,3,3,3,3,2,14,14,14,11,11
968,71,1,Rural,5,4,NA,1,24,2,2,3,1,1,9,2,3,3,3,3,14,14,14,9,9
971,49,1,Rural,3,1,50,1,16,5,3,2,2,1,13,3,3,2,1,1,10,10,10,13,13
975,44,1,Urban,5,1,41,1,25,4,3,3,2,1,13,2,2,2,2,3,11,11,11,13,13
